Season,Race,Track,Type,Pole Position,Winner,Winning Team,Winning Engine
2001,Harrah's 200,Nashville Superspeedway,Oval,Greg Ray,Buddy Lazier,Hemelgarn Racing,Oldsmobile
2001,Belterra Resort Indy 300,Kentucky Speedway,Oval,Scott Sharp,Buddy Lazier,Hemelgarn Racing,Oldsmobile
2001,Gateway Indy 250,Gateway International Raceway,Oval,Sam Hornish Jr.,Al Unser Jr.,Galles Racing,Oldsmobile
2001,Delphi Indy 300,Chicagoland Speedway,Oval,Jaques Lazier,Jaques Lazier,Team Menard,Oldsmobile
2001,Chevy 500,Texas Motor Speedway,Oval,Sam Hornish Jr.,Sam Hornish Jr.,Panther Racing,Oldsmobile
2002,Grand Prix of Miami,Homestead-Miami Speedway,Oval,Sam Hornish Jr.,Sam Hornish Jr.,Panther Racing,Chevrolet
2002,Bombardier ATV 200,Phoenix International Raceway,Oval,Hélio Castroneves,Hélio Castroneves,Marlboro Team Penske,Chevrolet
2002,Yamaha Indy 400,California Speedway,Oval,Eddie Cheever,Sam Hornish Jr.,Panther Racing,Chevrolet
2002,Firestone Indy 225,Nazareth Speedway,Oval,Gil de Ferran,Scott Sharp,Kelley Racing,Chevrolet
2002,86th Indianapolis 500,Indianapolis Motor Speedway,Oval,Bruno Junqueira,Hélio Castroneves,Marlboro Team Penske,Chevrolet
2002,Boomtown 500,Texas Motor Speedway,Oval,Tomas Scheckter,Jeff Ward,Target Chip Ganassi Racing,Chevrolet
2002,Radisson Indy 225,Pikes Peak International Raceway,Oval,Gil de Ferran,Gil de Ferran,Marlboro Team Penske,Chevrolet
2002,SunTrust Indy Challenge,Richmond International Raceway,Oval,Gil de Ferran,Sam Hornish Jr.,Panther Racing,Chevrolet
2002,Ameristar Casino Indy 200,Kansas Speedway,Oval,Tomas Scheckter,Airton Daré,A. J. Foyt Enterprises,Chevrolet
2002,Firestone Indy 200,Nashville Superspeedway,Oval,Billy Boat,Alex Barron,Blair Racing,Chevrolet
2002,Michigan Indy 400,Michigan International Speedway,Oval,Tomas Scheckter,Tomas Scheckter,Cheever Racing,Chevrolet
2002,Belterra Casino Indy 300,Kentucky Speedway,Oval,Sarah Fisher,Felipe Giaffone,Mo Nunn Racing,Chevrolet
2002,Gateway Indy 250,Gateway International Raceway,Oval,Gil de Ferran,Gil de Ferran,Marlboro Team Penske,Chevrolet
2002,Delphi Indy 300,Chicagoland Speedway,Oval,Sam Hornish Jr.,Sam Hornish Jr.,Panther Racing,Chevrolet
2002,Chevy 500,Texas Motor Speedway,Oval,Vítor Meira,Sam Hornish Jr.,Panther Racing,Chevrolet
2003,Toyota Indy 300,Homestead-Miami Speedway,Oval,Tony Kanaan,Scott Dixon,Target Chip Ganassi Racing,Toyota
2003,Purex Dial Indy 200,Phoenix International Raceway,Oval,Tony Kanaan,Tony Kanaan,Andretti Green Racing,Honda
2003,Indy Japan 300,Twin Ring Motegi,Oval,Scott Dixon,Scott Sharp,Kelley Racing,Toyota
2003,87th Indianapolis 500,Indianapolis Motor Speedway,Oval,Hélio Castroneves,Gil de Ferran,Marlboro Team Penske,Toyota
2003,Bombardier 500,Texas Motor Speedway,Oval,Tomas Scheckter,Al Unser Jr.,Kelley Racing,Toyota
2003,Honda Indy 225,Pikes Peak International Raceway,Oval,Tony Kanaan,Scott Dixon,Target Chip Ganassi Racing,Toyota
2003,SunTrust Indy Challenge,Richmond International Raceway,Oval,Scott Dixon,Scott Dixon,Target Chip Ganassi Racing,Toyota
2003,Kansas Indy 300,Kansas Speedway,Oval,Scott Dixon,Bryan Herta,Andretti Green Racing,Honda
2003,Firestone Indy 200,Nashville Superspeedway,Oval,Scott Dixon,Gil de Ferran,Marlboro Team Penske,Toyota
2003,Firestone Indy 400,Michigan International Speedway,Oval,Tomas Scheckter,Alex Barron,Marlboro Team Penske,Toyota
2003,Emerson Indy 250,Gateway International Raceway,Oval,Hélio Castroneves,Hélio Castroneves,Marlboro Team Penske,Toyota
