Season,Race,Track,Type,Pole Position,Winner,Winning Team,Winning Engine
2011,MoveThatBlock.com Indy 225,New Hampshire Motor Speedway ,Oval,Dario Franchitti,Ryan Hunter-Reay,A. J. Foyt Enterprises,Honda
2011,Indy Grand Prix of Sonoma,Infineon Raceway ,Road,Will Power,Will Power,Team Penske,Honda
2011,Grand Prix of Baltimore,Streets of Baltimore ,Road,Will Power,Will Power,Team Penske,Honda
2011,Indy Japan: The Final,Twin Ring Motegi Road Course ,Road,Scott Dixon,Scott Dixon,Chip Ganassi Racing,Honda
2011,Kentucky Indy 300,Kentucky Speedway ,Oval,Will Power,Ed Carpenter,Sarah Fisher Racing,Honda
2011,IZOD IndyCar World Championship presented by Honda,Las Vegas Motor Speedway ,Oval,Tony Kanaan,Race abandoned after 12 laps due to fatal crash of Dan Wheldon,Race abandoned after 12 laps due to fatal crash of Dan Wheldon,Race abandoned after 12 laps due to fatal crash of Dan Wheldon
2012,Honda Grand Prix of St. Petersburg,Streets of St. Petersburg ,Road,Will Power,Hélio Castroneves,Team Penske,Chevrolet
2012,Honda Indy Grand Prix of Alabama,Barber Motorsports Park ,Road,Hélio Castroneves,Will Power,Team Penske,Chevrolet
2012,38th Toyota Grand Prix of Long Beach,Streets of Long Beach ,Road,Ryan Briscoe[N 2],Will Power,Team Penske,Chevrolet
2012,Itaipava São Paulo Indy 300 presented by Nestlé,Streets of São Paulo ,Road,Will Power,Will Power,Team Penske,Chevrolet
2012,96th Indianapolis 500-Mile Race,Indianapolis Motor Speedway ,Oval,Ryan Briscoe,Dario Franchitti,Chip Ganassi Racing,Honda
2012,Chevrolet Detroit Belle Isle Grand Prix presented by ShopAutoWeek.com,Belle Isle ,Road,Scott Dixon,Scott Dixon,Chip Ganassi Racing,Honda
2012,Firestone 550,Texas Motor Speedway ,Oval,Alex Tagliani,Justin Wilson,Dale Coyne Racing,Honda
2012,Milwaukee IndyFest presented by XYQ,Milwaukee Mile ,Oval,Dario Franchitti,Ryan Hunter-Reay,Andretti Autosport,Chevrolet
2012,Iowa Corn Indy 250,Iowa Speedway ,Oval,Dario Franchitti,Ryan Hunter-Reay,Andretti Autosport,Chevrolet
2012,Honda Indy Toronto,Exhibition Place ,Road,Dario Franchitti,Ryan Hunter-Reay,Andretti Autosport,Chevrolet
2012,Edmonton Indy,Edmonton City Centre Airport ,Road,Ryan Hunter-Reay[N 3],Hélio Castroneves,Team Penske,Chevrolet
2012,Honda Indy 200 at Mid-Ohio,Mid-Ohio Sports Car Course ,Road,Will Power,Scott Dixon,Chip Ganassi Racing,Honda
2012,GoPro Indy Grand Prix of Sonoma,Sonoma Raceway ,Road,Will Power,Ryan Briscoe,Team Penske,Chevrolet
2012,Grand Prix of Baltimore presented by SRT,Streets of Baltimore ,Road,Will Power,Ryan Hunter-Reay,Andretti Autosport,Chevrolet
2012,MAVTV 500 IndyCar World Championships,Auto Club Speedway ,Oval,Marco Andretti,Ed Carpenter,Ed Carpenter Racing,Chevrolet
2013,Honda Grand Prix of St. Petersburg,Streets of St. Petersburg ,Road,Will Power,James Hinchcliffe,Andretti Autosport,Chevrolet
2013,Honda Indy Grand Prix of Alabama,Barber Motorsports Park ,Road,Ryan Hunter-Reay,Ryan Hunter-Reay,Andretti Autosport,Chevrolet
2013,39th Toyota Grand Prix of Long Beach,Streets of Long Beach ,Road,Dario Franchitti,Takuma Sato,A. J. Foyt Enterprises,Honda
2013,Itaipava São Paulo Indy 300 presented by Nestlé[50],Streets of São Paulo ,Road,Ryan Hunter-Reay,James Hinchcliffe,Andretti Autosport,Chevrolet
2013,97th Indianapolis 500-Mile Race,Indianapolis Motor Speedway ,Oval,Ed Carpenter,Tony Kanaan,KV Racing Technology,Chevrolet
2013,Chevrolet Indy Dual in Detroit presented by Quicken Loans,Belle Isle ,Road,Dario Franchitti,Mike Conway,Dale Coyne Racing,Honda
2013,Chevrolet Indy Dual in Detroit presented by Quicken Loans,Belle Isle ,Road,Mike Conway,Simon Pagenaud,Schmidt Hamilton Motorsports,Honda
2013,Firestone 550,Texas Motor Speedway ,Oval,Will Power,Hélio Castroneves,Team Penske,Chevrolet
2013,Milwaukee IndyFest,Milwaukee Mile ,Oval,Marco Andretti,Ryan Hunter-Reay,Andretti Autosport,Chevrolet
2013,Iowa Corn Indy 250 presented by DeKalb,Iowa Speedway ,Oval,Hélio Castroneves,James Hinchcliffe,Andretti Autosport,Chevrolet
2013,Pocono IndyCar 400 fueled by Sunoco,Pocono Raceway ,Oval,Marco Andretti,Scott Dixon,Chip Ganassi Racing,Honda
2013,Honda Indy Toronto,Exhibition Place ,Road,Dario Franchitti,Scott Dixon,Chip Ganassi Racing,Honda
2013,Honda Indy Toronto,Exhibition Place ,Road,Scott Dixon,Scott Dixon,Chip Ganassi Racing,Honda
2013,Honda Indy 200 at Mid-Ohio,Mid-Ohio Sports Car Course ,Road,Ryan Hunter-Reay,Charlie Kimball,Chip Ganassi Racing,Honda
2013,GoPro Indy Grand Prix of Sonoma,Sonoma Raceway ,Road,Dario Franchitti,Will Power,Team Penske,Chevrolet
2013,Grand Prix of Baltimore,Streets of Baltimore ,Road,Scott Dixon,Simon Pagenaud,Schmidt Hamilton Motorsports,Honda
2013,Shell and Pennzoil Grand Prix of Houston,Reliant Park ,Road,Takuma Sato,Scott Dixon,Chip Ganassi Racing,Honda
2013,Shell and Pennzoil Grand Prix of Houston,Reliant Park ,Road,Hélio Castroneves,Will Power,Team Penske,Chevrolet
2013,MAVTV 500 IndyCar World Championships,Auto Club Speedway ,Oval,Will Power,Will Power,Team Penske,Chevrolet
2014,Firestone Grand Prix of St. Petersburg,Streets of St. Petersburg ,Road,Takuma Sato,Will Power,Team Penske,Chevrolet
2014,40th Toyota Grand Prix of Long Beach,Streets of Long Beach ,Road,Ryan Hunter-Reay,Mike Conway,Ed Carpenter Racing,Chevrolet
2014,Honda Indy Grand Prix of Alabama,Barber Motorsports Park ,Road,Will Power,Ryan Hunter-Reay,Andretti Autosport,Honda
2014,Grand Prix of Indianapolis,Indianapolis Motor Speedway Road Course ,Road,Sebastián Saavedra,Simon Pagenaud,Schmidt Peterson Motorsports,Honda
2014,98th Indianapolis 500-Mile Race,Indianapolis Motor Speedway ,Oval,Ed Carpenter,Ryan Hunter-Reay,Andretti Autosport,Honda
2014,Chevrolet Indy Dual in Detroit presented by Quicken Loans,Belle Isle ,Road,Hélio Castroneves,Will Power,Team Penske,Chevrolet
2014,Chevrolet Indy Dual in Detroit presented by Quicken Loans,Belle Isle ,Road,Takuma Sato,Hélio Castroneves,Team Penske,Chevrolet
2014,Firestone 600K,Texas Motor Speedway ,Oval,Will Power,Ed Carpenter,Ed Carpenter Racing,Chevrolet
2014,Shell and Pennzoil Grand Prix of Houston,Reliant Park ,Road,Simon Pagenaud,Carlos Huertas,Dale Coyne Racing,Honda
2014,Shell and Pennzoil Grand Prix of Houston,Reliant Park ,Road,Hélio Castroneves,Simon Pagenaud,Schmidt Peterson Motorsports,Honda
2014,Pocono IndyCar 500 fueled by Sunoco,Pocono Raceway ,Oval,Juan Pablo Montoya,Juan Pablo Montoya,Team Penske,Chevrolet
2014,Iowa Corn Indy 300 presented by DeKalb,Iowa Speedway ,Oval,Scott Dixon,Ryan Hunter-Reay,Andretti Autosport,Honda
2014,Honda Indy Toronto,Exhibition Place ,Road,Sébastien Bourdais,Sébastien Bourdais,KVSH Racing,Chevrolet
2014,Honda Indy Toronto,Exhibition Place ,Road,Hélio Castroneves,Mike Conway,Ed Carpenter Racing,Chevrolet
2014,Honda Indy 200 at Mid-Ohio,Mid-Ohio Sports Car Course ,Road,Sébastien Bourdais,Scott Dixon,Chip Ganassi Racing,Chevrolet
2014,ABC Supply Wisconsin 250,The Milwaukee Mile ,Oval,Will Power,Will Power,Team Penske,Chevrolet
2014,GoPro Grand Prix of Sonoma,Sonoma Raceway ,Road,Will Power,Scott Dixon,Chip Ganassi Racing,Chevrolet
2014,MAVTV 500 IndyCar World Championships,Auto Club Speedway ,Oval,Hélio Castroneves,Tony Kanaan,Chip Ganassi Racing,Chevrolet
